id,mdb,project_name,region,multi_country,country,iso_country_code,city,year,context,sector,subset,amounttotal_2020usd,amountmdb_2020usd,sponsor1,amount1,sponsor2,amount2,sponsor3,amount3,sponsor4,amount4,sponsor5,amount5,sponsor6,amount6,sponsor7,amount7,ppp_sanitation,ppp_water,amount_sanitation,amount_water,primaryc,secondaryc,towns,network_infrastructure,n_drains_sewers,n_treatment,non_network_infrastructure,nn_containment,nn_transport,nn_treatment,nn_disposal,nn_reuse,ur1,ur2,ur3,ur4,ur5,er1,er2,er3
P000520,IBRD,Social Development Action / PADS Project,Middle Africa,0,Chad,TCD,MULTI,1990,Both,Sanitation +,3,53284166.464698,26543042.0307418,IBRD,26543042.0307418,OTHER_MULTI_BI_LATERAL,17827416.2893042,NA,6338636.9028637,COM,1386576.82250143,GOV,1188494.41928694,NA,NA,NA,NA,Non,NA,NA,NA,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1069,AsDB,SECOND IKK WATER SUPPLY SECTOR PROJECT,South-eastern Asia,0,Indonesia,IDN,MULTI,1990,Urban,Water,1,103002849.671535,77252137.2536514,AsDB,77252137.2536514,GOV,25750712.4178838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P004148,IBRD,Juam Regional Water Supply Project,Eastern Asia,0,Republic of Korea,KOR,Kwangju,1990,Urban,Water,3,362688880.285732,67348017.0929268,GOV,295340863.192806,IBRD,67348017.0929268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,NA,183100000,1,0,0,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P002966,IBRD,Program for Alleviation of Poverty and the Social Costs of Adjustment (PAPSCA) Project,Eastern Africa,0,Uganda,UGA,MULTI,1990,Both,Water & Sanitation +,1,73290489.1893616,55463072.9000574,IBRD,55463072.9000574,GOV,13449795.1782639,NA,4377621.11104024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-NG-EA0-003,AfDB,Bendel State Water Supply,Western Africa,0,Nigeria,NGA,MULTI,1990,Both,Water,1,245268315.130904,218097847.061912,AfDB,211612527.769776,AfDB,6485319.29213615,GOV,27170468.068992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P001059,IBRD,Urban Project (02),Western Africa,0,Guinea,GIN,MULTI,1990,Urban,Sanitation +,3,161833323.426239,112906969.83226,IBRD,112906969.83226,OTHER_MULTI_BI_LATERAL,30702772.4982461,NA,1980824.03214491,GOV,16242757.0635882,NA,NA,NA,NA,NA,NA,Non,NA,NA,NA,1,4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
P005884,IBRD,Tarim Water Supply Project,Western Asia,0,Yemen,YEM,Tarim,1990,Urban,Water & Sanitation,2,30702772.4982461,23769888.3857389,IBRD,23769888.3857389,GOV,6239595.70125646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,480000,8630000,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P-MR-EAZ-002,AfDB,Mauritania - Rural Hydraulics Project in South-Eastern Mauritania,Western Africa,0,Mauritania,MRT,NA,1991,Rural,Water,1,24387637.8584334,21943674.1498057,AfDB,21943674.1498057,GOV,2443963.70862765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P010366,IBRD,Rural Water Supply & Sanitation Project,Southern Asia,0,Pakistan,PAK,NA,1991,Rural,Water & Sanitation,1,369047018.784801,259777175.426788,IBRD,259777175.426788,GOV,90076357.8290399,COM,19193485.5289726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P010370,IBRD,URBAN WATER SUPPLY AND SANITATION REHABILITATION PROJECT,Southern Asia,0,Nepal,NPL,MULTI,1991,Urban,Water & Sanitation,2,134924502.233372,114020706.112709,IBRD,114020706.112709,GOV,14442622.7742764,OTHER_MULTI_BI_LATERAL,6461173.34638683,NA,NA,NA,NA,NA,NA,NA,NA,Non,Non,15060000,57320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
